Unnamed: 0,日期,天气,wind_dir,wind_level,temp_max,temp_min
0,2020-01-01,多云,西南风转东北风,3-4级转3-4级,3,-2
1,2020-01-02,阴,东北风转北风,<3级,5,2
2,2020-01-03,阴转晴,北风转南风,3-4级转3-4级,8,0
3,2020-01-04,多云,北风转东北风,<3级,9,2
4,2020-01-05,雾转小雨,北风转东风,3-4级,6,4
5,2020-01-06,阴转中雨,东北风转北风,3-4级,5,2
6,2020-01-07,阴转小雪,东北风转西北风,3-4级转3-4级,4,-4
7,2020-01-08,晴,西北风转东北风,3-4级转3-4级,3,-4
8,2020-01-09,多云,东北风,3-4级转3-4级,3,-2
9,2020-01-10,阴转多云,北风,3-4级转3-4级,6,0
10,2020-01-11,阴转多云,西风转北风,3-4级转3-4级,3,-4
11,2020-01-12,多云,东北风转南风,3-4级转3-4级,3,-3
12,2020-01-13,小雪,北风,<3级,5,-3
13,2020-01-14,晴,东北风转东风,3-4级转3-4级,2,-4
14,2020-01-15,阴转小雪,北风转东北风,3-4级转3-4级,3,0
15,2020-01-16,阴,东北风转北风,3-4级转3-4级,2,-4
16,2020-01-17,雾转多云,西风转北风,3-4级转3-4级,2,-4
17,2020-01-18,多云,西风转西南风,3-4级转3-4级,5,-2
18,2020-01-19,多云转晴,西南风转西北风,3-4级转3-4级,8,-2
19,2020-01-20,多云,北风转东风,3-4级转3-4级,8,-1
20,2020-01-21,多云转阴,东北风转东南风,3-4级转3-4级,7,1
21,2020-01-22,阴,东北风,3-4级转3-4级,8,2
22,2020-01-23,雾转多云,北风转东北风,3-4级,8,2
23,2020-01-24,阴转多云,东北风,3-4级,7,1
24,2020-01-25,阴,东北风,3-4级,6,1
25,2020-01-26,阴转小雪,东北风转北风,3-4级,2,1
26,2020-01-27,阴转多云,东北风转北风,3-4级转3-4级,7,0
27,2020-01-28,阴转多云,西风转北风,3-4级转3-4级,8,-1
28,2020-01-29,多云转晴,西北风转北风,3-4级转3-4级,5,-3
29,2020-01-30,晴,西北风转北风,3-4级转3-4级,7,-3
30,2020-01-31,晴,西南风转南风,3-4级转3-4级,10,-2
31,2020-02-01,多云,东北风,3-4级转3-4级,10,0
32,2020-02-02,多云,西南风转北风,3-4级,11,-2
33,2020-02-03,晴,东北风转南风,3-4级转3-4级,7,-3
34,2020-02-04,阴转雨夹雪,东北风转北风,3-4级转3-4级,9,-3
35,2020-02-05,阴,东北风转东风,3-4级,1,-2
36,2020-02-06,阴,东北风转南风,3-4级转3-4级,0,-4
37,2020-02-07,阴转多云,西风转南风,3-4级转3-4级,6,-1
38,2020-02-08,多云转晴,西南风,3-4级转3-4级,9,0
39,2020-02-09,晴,西南风,3-4级转3-4级,13,1
40,2020-02-10,多云,西南风转南风,3-4级转3-4级,16,1
41,2020-02-11,阴,东风转北风,3-4级转3-4级,11,3
42,2020-02-12,阴转晴,西南风转南风,3-4级转3-4级,16,3
43,2020-02-13,多云转小雨,南风转东南风,3-4级转3-4级,17,10
44,2020-02-14,阴转中雨,东风转北风,3-4级转3-4级,10,1
45,2020-02-15,阴转多云,北风转西北风,3-4级,0,-5
46,2020-02-16,多云转晴,西北风,4-5级转4-5级,2,-5
47,2020-02-17,晴,西北风,3-4级转3-4级,5,-4
48,2020-02-18,晴转多云,西南风,3-4级转3-4级,11,-1
49,2020-02-19,阴转晴,东南风转南风,3-4级转3-4级,11,0
50,2020-02-20,多云,东北风转南风,3-4级转3-4级,13,4
51,2020-02-21,阴转晴,西风转西北风,3-4级,11,2
52,2020-02-22,晴,西风转南风,3-4级转3-4级,12,0
53,2020-02-23,晴转阴,南风,3-4级转3-4级,15,3
54,2020-02-24,小雨,北风,3-4级转3-4级,10,7
55,2020-02-25,阴转多云,东北风,3-4级,11,5
56,2020-02-26,多云,东北风,3-4级,10,0
57,2020-02-27,阴转小雨,东北风转东风,3-4级转3-4级,7,2
58,2020-02-28,阴转多云,东北风转东风,3-4级转3-4级,5,1
59,2020-02-29,阴,东南风转东风,<3级,7,4
60,2020-03-01,阴转多云,东北风转北风,<3级,7,-1
61,2020-03-02,雾转多云,东北风转南风,<3级,8,-1
62,2020-03-03,阴转多云,西风转北风,3-4级转3-4级,11,0
63,2020-03-04,晴,东北风转北风,3-4级转3-4级,10,-2
64,2020-03-05,晴转多云,西南风转东南风,3-4级转3-4级,10,0
65,2020-03-06,阴,南风,3-4级转3-4级,11,5
66,2020-03-07,多云转晴,东风,3-4级转3-4级,17,4
67,2020-03-08,雾转阴,东风,3-4级转3-4级,10,6
68,2020-03-09,阴转小雨,东北风转北风,3-4级,4,9
